,Player,Age,Player_Season_Num,PTS,GP,prev_GP,prev_G,prev_A,prev_PTS,prev_S,prev_TOI,career_GP,career_G,career_A,career_PTS,career_S,games,total_goals_per_game,goals_pp,chances_pp,shots,shot_pct
824,Andrew Ladd,29.0,10,62,81,82,28,22,50,265.0,1604.0,484,120,138,258,1086.0,82,5.32,47,271,2439,8.9
825,Andrew Ladd,30.0,11,46,78,48,18,28,46,121.0,945.0,532,138,166,304,1207.0,48,5.31,29,160,1399,9.1
826,Andrew Ladd,31.0,12,31,78,78,23,31,54,189.0,1539.0,610,161,197,358,1396.0,82,5.34,48,269,2463,8.9
827,Andrew Ladd,32.0,13,29,73,81,24,38,62,224.0,1626.0,691,185,235,420,1620.0,82,5.32,47,251,2453,8.9
828,Andrew Ladd,33.0,14,11,26,78,25,21,46,181.0,1475.0,769,210,256,466,1801.0,82,5.34,48,255,2438,9.0
829,Andrew Ladd,34.0,15,1,4,78,23,8,31,142.0,1262.0,847,233,264,497,1943.0,82,5.45,47,245,2478,9.0
830,Andrew MacDonald,25.0,4,19,75,3,0,0,0,1.0,31.0,3,0,0,0,1.0,82,5.7,65,341,2477,9.4
831,Andrew MacDonald,26.0,5,12,48,46,1,6,7,43.0,924.0,49,1,6,7,44.0,82,5.53,56,304,2486,9.1
832,Andrew MacDonald,27.0,6,28,82,60,4,23,27,72.0,1405.0,109,5,29,34,116.0,82,5.46,52,291,2492,9.0
833,Andrew MacDonald,28.0,7,12,58,75,5,14,19,71.0,1753.0,184,10,43,53,187.0,82,5.32,47,271,2439,8.9
834,Andrew MacDonald,29.0,8,8,28,48,3,9,12,45.0,1129.0,232,13,52,65,232.0,48,5.31,29,160,1399,9.1
835,Andrew MacDonald,30.0,9,18,73,82,4,24,28,92.0,2020.0,314,17,76,93,324.0,82,5.34,48,269,2463,8.9
836,Andrew MacDonald,31.0,10,21,66,58,2,10,12,62.0,1161.0,372,19,86,105,386.0,82,5.32,47,251,2453,8.9
837,Andrew MacDonald,32.0,11,9,47,28,1,7,8,20.0,563.0,400,20,93,113,406.0,82,5.34,48,255,2438,9.0
838,Andrew McBain,22.0,4,32,71,78,11,19,30,93.0,,78,11,19,30,93.0,80,7.89,74,336,2448,12.9
839,Andrew McBain,23.0,5,63,74,77,7,15,22,64.0,,155,18,34,52,157.0,80,7.77,71,321,2447,12.7
840,Andrew McBain,24.0,6,77,80,28,3,3,6,24.0,,183,21,37,58,181.0,80,7.94,82,370,2484,12.8
841,Andrew McBain,25.0,7,23,67,71,11,21,32,85.0,,254,32,58,90,266.0,80,7.34,72,344,2400,12.2
842,Andrew McBain,26.0,8,5,13,74,32,31,63,146.0,,328,64,89,153,412.0,80,7.43,89,437,2435,12.2
843,Andrew McBain,27.0,9,1,6,80,37,40,77,180.0,,408,101,129,230,592.0,80,7.48,85,403,2430,12.3
844,Andrew McBain,28.0,10,23,59,67,9,14,23,106.0,,475,110,143,253,698.0,80,7.37,76,367,2421,12.2
845,Andrew McBain,29.0,11,19,55,13,0,5,5,8.0,,488,110,148,258,706.0,80,6.91,71,366,2385,11.6
846,Andrew Murray,29.0,4,8,29,39,6,4,10,45.0,457.0,39,6,4,10,45.0,82,5.44,62,351,2383,9.4
847,Andrew Murray,30.0,5,4,39,67,8,3,11,89.0,755.0,106,14,7,21,134.0,82,5.7,65,341,2477,9.4
848,Andrew Murray,31.0,6,0,1,46,5,2,7,73.0,477.0,152,19,9,28,207.0,82,5.53,56,304,2486,9.1
849,Andrew Peters,27.0,4,2,44,42,2,0,2,19.0,175.0,42,2,0,2,19.0,82,5.14,57,348,2300,9.2
850,Andrew Peters,28.0,5,1,28,28,0,0,0,6.0,91.0,70,2,0,2,25.0,82,6.05,85,480,2458,10.1
851,Andrew Peters,29.0,6,0,29,58,1,1,2,19.0,219.0,128,3,1,4,44.0,82,5.76,70,398,2426,9.7
852,Andrew Shaw,23.0,4,26,79,37,12,11,23,74.0,563.0,37,12,11,23,74.0,82,5.32,47,271,2439,8.9
853,Andrew Shaw,24.0,5,34,78,48,9,6,15,64.0,722.0,85,21,17,38,138.0,48,5.31,29,160,1399,9.1
854,Andrew Shaw,25.0,6,29,68,80,20,19,39,149.0,1255.0,165,41,36,77,287.0,82,5.34,48,269,2463,8.9
855,Andrew Shaw,26.0,7,20,51,79,15,11,26,146.0,1181.0,244,56,47,103,433.0,82,5.32,47,251,2453,8.9
856,Andrew Shaw,27.0,8,47,63,78,14,20,34,153.0,1143.0,322,70,67,137,586.0,82,5.34,48,255,2438,9.0
857,Andrew Shaw,28.0,9,10,26,68,12,17,29,127.0,1034.0,390,82,84,166,713.0,82,5.45,47,245,2478,9.0
858,Andy Andreoff,26.0,4,9,45,18,2,1,3,14.0,154.0,18,2,1,3,14.0,82,5.32,47,251,2453,8.9
859,Andy Andreoff,28.0,5,1,14,60,8,2,10,46.0,528.0,78,10,3,13,60.0,82,5.34,48,255,2438,9.0
860,Andy Brickley,25.0,4,23,51,3,1,1,2,7.0,,3,1,1,2,7.0,80,7.73,71,310,2444,12.7
861,Andy Brickley,26.0,5,22,45,50,18,20,38,75.0,,53,19,21,40,82.0,80,7.89,74,336,2448,12.9
862,Andy Brickley,27.0,6,35,71,45,7,15,22,58.0,,98,26,36,62,140.0,80,7.77,71,321,2447,12.7
863,Andy Brickley,28.0,7,40,43,51,11,12,23,55.0,,149,37,48,85,195.0,80,7.34,72,344,2400,12.2
864,Andy Brickley,29.0,8,11,40,45,8,14,22,61.0,,194,45,62,107,256.0,80,7.43,89,437,2435,12.2
865,Andy Brickley,30.0,9,27,23,71,13,22,35,98.0,,265,58,84,142,354.0,80,7.48,85,403,2430,12.3
866,Andy Brickley,31.0,10,2,12,43,12,28,40,69.0,,308,70,112,182,423.0,80,7.37,76,367,2421,12.2
867,Andy Brickley,32.0,11,0,2,40,2,9,11,28.0,,348,72,121,193,451.0,80,6.91,71,366,2385,11.6
868,Andy Delmore,25.0,4,38,73,2,0,1,1,2.0,41.0,2,0,1,1,2.0,82,5.27,57,359,2285,9.4
869,Andy Delmore,26.0,5,34,71,27,2,5,7,55.0,467.0,29,2,6,8,57.0,82,5.49,53,331,2294,9.8
870,Andy Delmore,27.0,6,7,37,66,5,9,14,119.0,1164.0,95,7,15,22,176.0,82,5.51,63,376,2272,9.9
871,Andy Delmore,29.0,7,0,7,73,16,22,38,175.0,1436.0,168,23,37,60,351.0,82,5.24,53,338,2262,9.5
872,Andy Greene,27.0,4,37,78,23,1,5,6,23.0,328.0,23,1,5,6,23.0,82,5.76,70,398,2426,9.7
873,Andy Greene,28.0,5,23,82,59,2,8,10,50.0,1151.0,82,3,13,16,73.0,82,5.44,62,351,2383,9.4
874,Andy Greene,29.0,6,16,56,49,2,7,9,38.0,798.0,131,5,20,25,111.0,82,5.7,65,341,2477,9.4
875,Andy Greene,30.0,7,16,48,78,6,31,37,86.0,1836.0,209,11,51,62,197.0,82,5.53,56,304,2486,9.1
876,Andy Greene,31.0,8,32,82,82,4,19,23,91.0,1834.0,291,15,70,85,288.0,82,5.46,52,291,2492,9.0
877,Andy Greene,32.0,9,22,82,56,1,15,16,53.0,1092.0,347,16,85,101,341.0,82,5.32,47,271,2439,8.9
878,Andy Greene,33.0,10,13,82,48,4,12,16,63.0,1106.0,395,20,97,117,404.0,48,5.31,29,160,1399,9.1
879,Andy Greene,34.0,11,13,66,82,8,24,32,134.0,2015.0,477,28,121,149,538.0,82,5.34,48,269,2463,8.9
880,Andy Greene,35.0,12,13,81,82,3,19,22,83.0,1931.0,559,31,140,171,621.0,82,5.32,47,251,2453,8.9
881,Andy Greene,36.0,13,25,82,82,4,9,13,63.0,1882.0,641,35,149,184,684.0,82,5.34,48,255,2438,9.0
882,Andy Greene,37.0,14,14,63,66,4,9,13,83.0,1448.0,707,39,158,197,767.0,82,5.45,47,245,2478,9.0
883,Andy Hilbert,24.0,4,27,47,6,1,0,1,11.0,69.0,6,1,0,1,11.0,82,5.24,53,338,2262,9.5
884,Andy Hilbert,25.0,5,28,81,14,0,3,3,22.0,161.0,20,1,3,4,33.0,82,5.31,60,363,2326,9.4
885,Andy Hilbert,26.0,6,16,70,18,2,0,2,27.0,161.0,38,3,3,6,60.0,82,5.14,57,348,2300,9.2
886,Andy Hilbert,27.0,7,27,67,47,12,15,27,101.0,614.0,85,15,18,33,161.0,82,6.05,85,480,2458,10.1
887,Andy Hilbert,28.0,8,0,4,81,8,20,28,164.0,931.0,166,23,38,61,325.0,82,5.76,70,398,2426,9.7
888,Andy McDonald,26.0,4,30,79,16,1,0,1,21.0,179.0,16,1,0,1,21.0,82,5.51,63,376,2272,9.9
889,Andy McDonald,28.0,5,85,82,53,7,21,28,79.0,847.0,69,8,21,29,100.0,82,5.24,53,338,2262,9.5
890,Andy McDonald,29.0,6,78,82,46,10,11,21,92.0,852.0,115,18,32,50,192.0,82,5.31,60,363,2326,9.4
891,Andy McDonald,30.0,7,52,82,79,9,21,30,162.0,1308.0,194,27,53,80,354.0,82,5.14,57,348,2300,9.2
892,Andy McDonald,31.0,8,44,46,82,34,51,85,229.0,1378.0,276,61,104,165,583.0,82,6.05,85,480,2458,10.1
893,Andy McDonald,32.0,9,57,79,82,27,51,78,252.0,1442.0,358,88,155,243,835.0,82,5.76,70,398,2426,9.7
894,Andy McDonald,33.0,10,50,58,82,18,34,52,182.0,1465.0,440,106,189,295,1017.0,82,5.44,62,351,2383,9.4
895,Andy McDonald,34.0,11,22,25,46,15,29,44,128.0,877.0,486,121,218,339,1145.0,82,5.7,65,341,2477,9.4
896,Andy McDonald,35.0,12,21,37,79,24,33,57,191.0,1432.0,565,145,251,396,1336.0,82,5.53,56,304,2486,9.1
897,Andy Sutton,26.0,4,10,43,31,0,3,3,24.0,402.0,31,0,3,3,24.0,82,5.27,57,359,2285,9.4
898,Andy Sutton,27.0,5,21,53,40,1,1,2,29.0,518.0,71,1,4,5,53.0,82,5.49,53,331,2294,9.8
899,Andy Sutton,28.0,6,21,65,69,3,4,7,64.0,891.0,140,4,8,12,117.0,82,5.51,63,376,2272,9.9
900,Andy Sutton,30.0,7,25,76,43,2,8,10,41.0,578.0,183,6,16,22,158.0,82,5.24,53,338,2262,9.5
901,Andy Sutton,31.0,8,16,55,53,3,18,21,65.0,954.0,236,9,34,43,223.0,82,5.31,60,363,2326,9.4
902,Andy Sutton,32.0,9,8,58,65,8,13,21,102.0,1517.0,301,17,47,64,325.0,82,5.14,57,348,2300,9.2
903,Andy Sutton,33.0,10,10,23,76,8,17,25,86.0,1602.0,377,25,64,89,411.0,82,6.05,85,480,2458,10.1
904,Andy Sutton,34.0,11,13,72,55,2,14,16,51.0,1070.0,432,27,78,105,462.0,82,5.76,70,398,2426,9.7
905,Andy Sutton,35.0,12,4,39,58,1,7,8,57.0,1053.0,490,28,85,113,519.0,82,5.44,62,351,2383,9.4
906,Andy Sutton,36.0,13,10,52,23,2,8,10,19.0,465.0,513,30,93,123,538.0,82,5.7,65,341,2477,9.4
907,Andy Wozniewski,28.0,4,0,1,13,0,1,1,6.0,233.0,13,0,1,1,6.0,82,6.05,85,480,2458,10.1
908,Andy Wozniewski,29.0,5,0,2,15,0,2,2,10.0,209.0,28,0,3,3,16.0,82,5.76,70,398,2426,9.7
909,Anson Carter,25.0,4,47,59,38,11,7,18,79.0,,38,11,7,18,79.0,82,5.83,55,336,2444,9.8
910,Anson Carter,26.0,5,42,61,78,16,27,43,179.0,,116,27,34,61,258.0,82,5.28,57,380,2242,9.6
911,Anson Carter,27.0,6,60,82,55,24,16,40,123.0,1030.0,171,51,50,101,381.0,82,5.27,57,359,2285,9.4
912,Anson Carter,28.0,7,60,79,59,22,25,47,144.0,1211.0,230,73,75,148,525.0,82,5.49,53,331,2294,9.8
913,Anson Carter,29.0,8,28,77,61,16,26,42,102.0,1111.0,291,89,101,190,627.0,82,5.51,63,376,2272,9.9
914,Anson Carter,31.0,9,55,81,82,28,32,60,181.0,1583.0,373,117,133,250,808.0,82,5.24,53,338,2262,9.5
915,Anson Carter,32.0,10,28,64,79,26,34,60,193.0,1532.0,452,143,167,310,1001.0,82,5.31,60,363,2326,9.4
916,Anthony Beauvillier,22.0,4,39,68,66,9,15,24,101.0,859.0,66,9,15,24,101.0,82,5.45,47,245,2478,9.0
917,Anthony Bitetto,27.0,4,3,32,7,0,0,0,2.0,82.0,7,0,0,0,2.0,82,5.32,47,251,2453,8.9
918,Anthony Bitetto,28.0,5,3,36,28,1,5,6,19.0,340.0,35,1,5,6,21.0,82,5.34,48,255,2438,9.0
919,Anthony Bitetto,29.0,6,8,51,29,0,7,7,17.0,342.0,64,1,12,13,38.0,82,5.45,47,245,2478,9.0
920,Anthony DeAngelo,24.0,4,53,68,39,5,9,14,60.0,667.0,39,5,9,14,60.0,82,5.45,47,245,2478,9.0
921,Anthony Duclair,22.0,4,23,56,18,1,6,7,18.0,219.0,18,1,6,7,18.0,82,5.32,47,251,2453,8.9
922,Anthony Duclair,23.0,5,33,74,81,20,24,44,105.0,1164.0,99,21,30,51,123.0,82,5.34,48,255,2438,9.0
923,Anthony Duclair,24.0,6,40,66,58,5,10,15,76.0,771.0,157,26,40,66,199.0,82,5.45,47,245,2478,9.0
924,Anthony Mantha,24.0,4,48,67,10,2,1,3,18.0,117.0,10,2,1,3,18.0,82,5.34,48,255,2438,9.0
925,Anthony Mantha,25.0,5,38,43,60,17,19,36,133.0,954.0,70,19,20,39,151.0,82,5.45,47,245,2478,9.0
926,Anthony Peluso,26.0,4,5,35,5,0,2,2,4.0,25.0,5,0,2,2,4.0,48,5.31,29,160,1399,9.1
927,Anthony Peluso,28.0,5,0,2,53,2,3,5,24.0,306.0,58,2,5,7,28.0,82,5.34,48,269,2463,8.9
928,Anthony Peluso,29.0,6,0,4,49,1,1,2,23.0,288.0,107,3,6,9,51.0,82,5.32,47,251,2453,8.9
929,Anthony Stewart,24.0,4,7,59,10,2,1,3,16.0,72.0,10,2,1,3,16.0,82,6.05,85,480,2458,10.1
930,Anthony Stewart,26.0,5,39,80,10,0,1,1,8.0,69.0,20,2,2,4,24.0,82,5.76,70,398,2426,9.7
931,Anthony Stewart,27.0,6,20,77,26,0,1,1,21.0,160.0,46,2,3,5,45.0,82,5.44,62,351,2383,9.4
932,Antoine Roussel,26.0,4,29,80,39,7,7,14,46.0,367.0,39,7,7,14,46.0,48,5.31,29,160,1399,9.1
933,Antoine Roussel,27.0,5,27,60,81,14,15,29,113.0,1080.0,120,21,22,43,159.0,82,5.34,48,269,2463,8.9
934,Antoine Roussel,28.0,6,17,73,80,13,12,25,113.0,1162.0,200,34,34,68,272.0,82,5.32,47,251,2453,8.9
935,Antoine Roussel,29.0,7,31,65,80,13,16,29,111.0,1109.0,280,47,50,97,383.0,82,5.34,48,255,2438,9.0
936,Antoine Roussel,30.0,8,13,41,60,12,15,27,82.0,931.0,340,59,65,124,465.0,82,5.45,47,245,2478,9.0
937,Antoine Vermette,25.0,4,53,81,57,7,7,14,63.0,684.0,57,7,7,14,63.0,82,5.14,57,348,2300,9.2
938,Antoine Vermette,26.0,5,41,79,82,21,12,33,123.0,1031.0,139,28,19,47,186.0,82,6.05,85,480,2458,10.1
939,Antoine Vermette,27.0,6,65,82,77,19,20,39,151.0,1210.0,216,47,39,86,337.0,82,5.76,70,398,2426,9.7
940,Antoine Vermette,28.0,7,47,82,81,24,29,53,175.0,1424.0,297,71,68,139,512.0,82,5.44,62,351,2383,9.4
941,Antoine Vermette,29.0,8,37,82,79,16,25,41,174.0,1450.0,376,87,93,180,686.0,82,5.7,65,341,2477,9.4
942,Antoine Vermette,30.0,9,21,48,82,27,38,65,156.0,1652.0,458,114,131,245,842.0,82,5.53,56,304,2486,9.1
943,Antoine Vermette,31.0,10,45,82,82,19,28,47,183.0,1543.0,540,133,159,292,1025.0,82,5.46,52,291,2492,9.0
944,Antoine Vermette,32.0,11,38,82,82,11,26,37,149.0,1411.0,622,144,185,329,1174.0,82,5.32,47,271,2439,8.9
945,Antoine Vermette,33.0,12,38,76,48,13,8,21,91.0,876.0,670,157,193,350,1265.0,48,5.31,29,160,1399,9.1
946,Antoine Vermette,34.0,13,28,72,82,24,21,45,160.0,1575.0,752,181,214,395,1425.0,82,5.34,48,269,2463,8.9
947,Antoine Vermette,35.0,14,16,64,82,13,25,38,109.0,1463.0,834,194,239,433,1534.0,82,5.32,47,251,2453,8.9
948,Anton Babchuk,24.0,4,35,72,5,0,2,2,11.0,64.0,5,0,2,2,11.0,82,5.14,57,348,2300,9.2
949,Anton Babchuk,26.0,5,35,82,39,5,5,10,56.0,577.0,44,5,7,12,67.0,82,6.05,85,480,2458,10.1
950,Anton Babchuk,27.0,6,10,32,52,2,12,14,63.0,906.0,96,7,19,26,130.0,82,5.76,70,398,2426,9.7
951,Anton Babchuk,28.0,7,1,7,72,16,19,35,127.0,1301.0,168,23,38,61,257.0,82,5.7,65,341,2477,9.4
952,Anton Blidh,24.0,4,0,7,19,1,1,2,26.0,167.0,19,1,1,2,26.0,82,5.45,47,245,2478,9.0
953,Anton Lander,23.0,4,20,38,56,2,4,6,54.0,594.0,56,2,4,6,54.0,82,5.32,47,271,2439,8.9
954,Anton Lander,24.0,5,3,61,11,0,1,1,11.0,121.0,67,2,5,7,65.0,48,5.31,29,160,1399,9.1
955,Anton Lander,25.0,6,4,22,27,0,1,1,18.0,368.0,94,2,6,8,83.0,82,5.34,48,269,2463,8.9
956,Anton Lindholm,25.0,4,1,4,12,0,0,0,7.0,177.0,12,0,0,0,7.0,82,5.45,47,245,2478,9.0
957,Anton Stastny,24.0,4,62,69,80,39,46,85,177.0,,80,39,46,85,177.0,80,7.69,77,340,2441,12.6
958,Anton Stastny,25.0,5,80,79,68,26,46,72,137.0,,148,65,92,157,314.0,80,8.03,73,320,2489,12.9
959,Anton Stastny,26.0,6,74,74,79,32,60,92,166.0,,227,97,152,249,480.0,80,7.73,71,310,2444,12.7
960,Anton Stastny,27.0,7,62,77,69,25,37,62,147.0,,296,122,189,311,627.0,80,7.89,74,336,2448,12.9
961,Anton Stastny,28.0,8,72,69,79,38,42,80,176.0,,375,160,231,391,803.0,80,7.77,71,321,2447,12.7
962,Anton Stastny,29.0,9,37,55,74,31,43,74,163.0,,449,191,274,465,966.0,80,7.94,82,370,2484,12.8
963,Anton Stralman,24.0,4,18,51,50,3,6,9,40.0,641.0,50,3,6,9,40.0,82,5.44,62,351,2383,9.4
964,Anton Stralman,25.0,5,18,53,38,1,12,13,43.0,592.0,88,4,18,22,83.0,82,5.7,65,341,2477,9.4
965,Anton Stralman,26.0,6,7,48,73,6,28,34,121.0,1496.0,161,10,46,56,204.0,82,5.53,56,304,2486,9.1
966,Anton Stralman,27.0,7,13,81,51,1,17,18,80.0,1006.0,212,11,63,74,284.0,82,5.46,52,291,2492,9.0
967,Anton Stralman,28.0,8,39,82,53,2,16,18,55.0,906.0,265,13,79,92,339.0,82,5.32,47,271,2439,8.9
968,Anton Stralman,29.0,9,34,73,48,4,3,7,66.0,866.0,313,17,82,99,405.0,48,5.31,29,160,1399,9.1
969,Anton Stralman,30.0,10,22,73,81,1,12,13,104.0,1571.0,394,18,94,112,509.0,82,5.34,48,269,2463,8.9
970,Anton Stralman,31.0,11,18,80,82,9,30,39,138.0,1800.0,476,27,124,151,647.0,82,5.32,47,251,2453,8.9
971,Anton Stralman,32.0,12,17,47,73,9,25,34,127.0,1612.0,549,36,149,185,774.0,82,5.34,48,255,2438,9.0
972,Anton Stralman,33.0,13,19,69,73,5,17,22,130.0,1672.0,622,41,166,207,904.0,82,5.45,47,245,2478,9.0
973,Anton Volchenkov,24.0,4,19,78,57,3,13,16,75.0,884.0,57,3,13,16,75.0,82,5.31,60,363,2326,9.4
974,Anton Volchenkov,25.0,5,15,67,19,1,2,3,15.0,248.0,76,4,15,19,90.0,82,5.14,57,348,2300,9.2
975,Anton Volchenkov,26.0,6,10,68,75,4,13,17,82.0,1354.0,151,8,28,36,172.0,82,6.05,85,480,2458,10.1
976,Anton Volchenkov,27.0,7,14,64,78,1,18,19,85.0,1660.0,229,9,46,55,257.0,82,5.76,70,398,2426,9.7
977,Anton Volchenkov,28.0,8,8,57,67,1,14,15,71.0,1374.0,296,10,60,70,328.0,82,5.44,62,351,2383,9.4
978,Anton Volchenkov,29.0,9,11,72,68,2,8,10,79.0,1370.0,364,12,68,80,407.0,82,5.7,65,341,2477,9.4
979,Anton Volchenkov,30.0,10,5,37,64,4,10,14,69.0,1324.0,428,16,78,94,476.0,82,5.53,56,304,2486,9.1
980,Anton Volchenkov,31.0,11,8,56,57,0,8,8,65.0,1032.0,485,16,86,102,541.0,82,5.46,52,291,2492,9.0
981,Anton Volchenkov,32.0,12,7,46,72,2,9,11,63.0,1294.0,557,18,95,113,604.0,82,5.32,47,271,2439,8.9
982,Antti Aalto,25.0,4,2,12,3,0,0,0,1.0,,3,0,0,0,1.0,82,5.28,57,380,2242,9.6
983,Antti Laaksonen,28.0,4,33,82,11,1,2,3,8.0,103.0,11,1,2,3,8.0,82,5.27,57,359,2285,9.4
984,Antti Laaksonen,29.0,5,31,82,27,6,3,9,23.0,212.0,38,7,5,12,31.0,82,5.49,53,331,2294,9.8
985,Antti Laaksonen,30.0,6,26,77,82,12,16,28,129.0,1349.0,120,19,21,40,160.0,82,5.51,63,376,2272,9.9
986,Antti Laaksonen,32.0,7,34,81,82,16,17,33,104.0,1339.0,202,35,38,73,264.0,82,5.24,53,338,2262,9.5
987,Antti Laaksonen,33.0,8,4,41,82,15,16,31,106.0,1305.0,284,50,54,104,370.0,82,5.31,60,363,2326,9.4
988,Antti Miettinen,27.0,4,34,69,16,1,0,1,17.0,158.0,16,1,0,1,17.0,82,5.14,57,348,2300,9.2
989,Antti Miettinen,28.0,5,44,82,79,11,20,31,107.0,956.0,95,12,20,32,124.0,82,6.05,85,480,2458,10.1
990,Antti Miettinen,29.0,6,42,79,74,11,14,25,141.0,1060.0,169,23,34,57,265.0,82,5.76,70,398,2426,9.7
991,Antti Miettinen,30.0,7,35,73,69,15,19,34,136.0,965.0,238,38,53,91,401.0,82,5.44,62,351,2383,9.4
992,Antti Miettinen,31.0,8,13,45,82,15,29,44,186.0,1499.0,320,53,82,135,587.0,82,5.7,65,341,2477,9.4
993,Antti Miettinen,32.0,9,5,22,79,20,22,42,175.0,1426.0,399,73,104,177,762.0,82,5.53,56,304,2486,9.1
994,Anze Kopitar,22.0,4,81,82,72,20,41,61,193.0,1479.0,72,20,41,61,193.0,82,5.76,70,398,2426,9.7
995,Anze Kopitar,23.0,5,73,75,82,32,45,77,201.0,1696.0,154,52,86,138,394.0,82,5.44,62,351,2383,9.4
996,Anze Kopitar,24.0,6,76,82,82,27,39,66,234.0,1677.0,236,79,125,204,628.0,82,5.7,65,341,2477,9.4
997,Anze Kopitar,25.0,7,42,47,82,34,47,81,259.0,1786.0,318,113,172,285,887.0,82,5.53,56,304,2486,9.1
998,Anze Kopitar,26.0,8,70,82,75,25,48,73,233.0,1619.0,393,138,220,358,1120.0,82,5.46,52,291,2492,9.0
999,Anze Kopitar,27.0,9,64,79,82,25,51,76,230.0,1750.0,475,163,271,434,1350.0,82,5.32,47,271,2439,8.9
1000,Anze Kopitar,28.0,10,74,81,47,10,32,42,98.0,963.0,522,173,303,476,1448.0,48,5.31,29,160,1399,9.1
1001,Anze Kopitar,29.0,11,52,76,82,29,41,70,200.0,1713.0,604,202,344,546,1648.0,82,5.34,48,269,2463,8.9
1002,Anze Kopitar,30.0,12,92,82,79,16,48,64,134.0,1532.0,683,218,392,610,1782.0,82,5.32,47,251,2453,8.9
1003,Anze Kopitar,31.0,13,60,81,81,25,49,74,177.0,1690.0,764,243,441,684,1959.0,82,5.34,48,255,2438,9.0
1004,Anze Kopitar,32.0,14,62,70,76,12,40,52,150.0,1578.0,840,255,481,736,2109.0,82,5.45,47,245,2478,9.0
1005,Aris Brimanis,27.0,4,3,18,1,0,0,0,1.0,,1,0,0,0,1.0,84,6.48,76,407,2545,10.7
1006,Aris Brimanis,28.0,5,8,56,17,0,2,2,11.0,,18,0,2,2,12.0,82,6.29,74,413,2481,10.4
1007,Aris Brimanis,29.0,6,0,5,3,0,1,1,1.0,,21,0,3,3,13.0,82,5.83,55,336,2444,9.8
1008,Aris Brimanis,31.0,7,0,13,18,2,1,3,16.0,360.0,39,2,4,6,29.0,82,5.49,53,331,2294,9.8
1009,Arron Asham,23.0,4,9,35,7,0,0,0,5.0,52.0,7,0,0,0,5.0,82,5.27,57,359,2285,9.4
1010,Arron Asham,24.0,5,34,78,33,4,2,6,29.0,338.0,40,4,2,6,34.0,82,5.49,53,331,2294,9.8
1011,Arron Asham,25.0,6,24,79,46,2,3,5,32.0,389.0,86,6,5,11,66.0,82,5.51,63,376,2272,9.9
1012,Arron Asham,27.0,7,24,63,35,5,4,9,30.0,287.0,121,11,9,20,96.0,82,5.24,53,338,2262,9.5
1013,Arron Asham,28.0,8,23,80,78,15,19,34,114.0,953.0,199,26,28,54,210.0,82,5.31,60,363,2326,9.4
1014,Arron Asham,29.0,9,10,77,79,12,12,24,108.0,1044.0,278,38,40,78,318.0,82,5.14,57,348,2300,9.2
1015,Arron Asham,30.0,10,20,78,63,9,15,24,99.0,853.0,341,47,55,102,417.0,82,6.05,85,480,2458,10.1
1016,Arron Asham,31.0,11,24,72,80,11,12,23,85.0,746.0,421,58,67,125,502.0,82,5.76,70,398,2426,9.7
1017,Arron Asham,32.0,12,11,44,77,6,4,10,68.0,659.0,498,64,71,135,570.0,82,5.44,62,351,2383,9.4
1018,Arron Asham,33.0,13,16,64,78,8,12,20,74.0,682.0,576,72,83,155,644.0,82,5.7,65,341,2477,9.4
1019,Arron Asham,34.0,14,2,27,72,10,14,24,91.0,725.0,648,82,97,179,735.0,82,5.53,56,304,2486,9.1
1020,Arron Asham,35.0,15,0,6,44,5,6,11,60.0,420.0,692,87,103,190,795.0,82,5.46,52,291,2492,9.0
1021,Artem Anisimov,23.0,4,36,79,1,0,0,0,1.0,9.0,1,0,0,0,1.0,82,5.7,65,341,2477,9.4
1022,Artem Anisimov,24.0,5,18,35,82,12,16,28,124.0,1058.0,83,12,16,28,125.0,82,5.53,56,304,2486,9.1
1023,Artem Anisimov,25.0,6,39,81,82,18,26,44,190.0,1329.0,165,30,42,72,315.0,82,5.46,52,291,2492,9.0
1024,Artem Anisimov,26.0,7,27,52,79,16,20,36,132.0,1217.0,244,46,62,108,447.0,82,5.32,47,271,2439,8.9
1025,Artem Anisimov,27.0,8,42,77,35,11,7,18,68.0,574.0,279,57,69,126,515.0,48,5.31,29,160,1399,9.1
1026,Artem Anisimov,28.0,9,45,64,81,22,17,39,162.0,1344.0,360,79,86,165,677.0,82,5.34,48,269,2463,8.9
1027,Artem Anisimov,29.0,10,31,72,52,7,20,27,88.0,852.0,412,86,106,192,765.0,82,5.32,47,251,2453,8.9
1028,Artem Anisimov,30.0,11,37,78,77,20,22,42,121.0,1393.0,489,106,128,234,886.0,82,5.34,48,255,2438,9.0
1029,Artem Anisimov,31.0,12,20,49,64,22,23,45,105.0,1142.0,553,128,151,279,991.0,82,5.45,47,245,2478,9.0
1030,Artem Chubarov,23.0,4,20,62,49,1,8,9,53.0,574.0,49,1,8,9,53.0,82,5.49,53,331,2294,9.8
1031,Artem Chubarov,24.0,5,19,65,1,0,0,0,0.0,15.0,50,1,8,9,53.0,82,5.51,63,376,2272,9.9
1032,Artemi Panarin,27.0,4,87,79,80,30,47,77,187.0,1482.0,80,30,47,77,187.0,82,5.34,48,255,2438,9.0
1033,Artemi Panarin,28.0,5,95,69,82,31,43,74,211.0,1597.0,162,61,90,151,398.0,82,5.45,47,245,2478,9.0
